Date	Time	Severity	PID	TID	Function	Message
02-09-2024	10:40:48.865	 INFO	 24560	 18500	DllMain	"DLL_PROCESS_ATTACH Mon Aug 19 22:32:08 2024 11.3.2416.6"
02-09-2024	10:40:48.866	 INFO	 24560	  3116	LateInitialization	"Intialization..."
02-09-2024	10:40:48.867	 INFO	 24560	  3116	LateInitialization	"Exe = C:\Users\arnabm\AppData\Local\Programs\Git\usr\bin\bash.exe"
02-09-2024	10:40:48.867	 INFO	 24560	  3116	LateInitialization	"IsExplorer = 0"
02-09-2024	10:40:48.868	 INFO	 24560	  3116	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
02-09-2024	10:40:48.869	 INFO	 24560	  3116	LateInitialization	"Intialization finished"
02-09-2024	10:58:54.257	 INFO	  7208	 13356	DllMain	"DLL_PROCESS_ATTACH Mon Aug 19 22:32:08 2024 11.3.2416.6"
02-09-2024	10:58:54.258	 INFO	  7208	 21188	LateInitialization	"Intialization..."
02-09-2024	10:58:54.259	 INFO	  7208	 21188	LateInitialization	"Exe = C:\Users\arnabm\AppData\Local\Programs\Git\usr\bin\bash.exe"
02-09-2024	10:58:54.259	 INFO	  7208	 21188	LateInitialization	"IsExplorer = 0"
02-09-2024	10:58:54.260	 INFO	  7208	 21188	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
02-09-2024	10:58:54.260	 INFO	  7208	 21188	LateInitialization	"Intialization finished"
02-09-2024	11:06:22.748	 INFO	 23708	 17304	DllMain	"DLL_PROCESS_ATTACH Mon Aug 19 22:32:08 2024 11.3.2416.6"
02-09-2024	11:06:22.749	 INFO	 23708	  5500	LateInitialization	"Intialization..."
02-09-2024	11:06:22.750	 INFO	 23708	  5500	LateInitialization	"Exe = C:\Users\arnabm\AppData\Local\Programs\Git\usr\bin\bash.exe"
02-09-2024	11:06:22.750	 INFO	 23708	  5500	LateInitialization	"IsExplorer = 0"
02-09-2024	11:06:22.751	 INFO	 23708	  5500	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
02-09-2024	11:06:22.751	 INFO	 23708	  5500	LateInitialization	"Intialization finished"
02-09-2024	11:28:53.094	 INFO	  8624	 13908	DllMain	"DLL_PROCESS_ATTACH Mon Aug 19 22:32:08 2024 11.3.2416.6"
02-09-2024	11:28:53.095	 INFO	  8624	 12760	LateInitialization	"Intialization..."
02-09-2024	11:28:53.096	 INFO	  8624	 12760	LateInitialization	"Exe = C:\Users\arnabm\AppData\Local\Programs\Git\usr\bin\bash.exe"
02-09-2024	11:28:53.096	 INFO	  8624	 12760	LateInitialization	"IsExplorer = 0"
02-09-2024	11:28:53.097	 INFO	  8624	 12760	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
02-09-2024	11:28:53.098	 INFO	  8624	 12760	LateInitialization	"Intialization finished"
02-09-2024	11:38:35.221	 INFO	 26568	 18912	DllMain	"DLL_PROCESS_ATTACH Mon Aug 19 22:32:08 2024 11.3.2416.6"
02-09-2024	11:38:35.222	 INFO	 26568	 25700	LateInitialization	"Intialization..."
02-09-2024	11:38:35.222	 INFO	 26568	 25700	LateInitialization	"Exe = C:\Users\arnabm\AppData\Local\Programs\Git\usr\bin\bash.exe"
02-09-2024	11:38:35.223	 INFO	 26568	 25700	LateInitialization	"IsExplorer = 0"
02-09-2024	11:38:35.223	 INFO	 26568	 25700	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
02-09-2024	11:38:35.224	 INFO	 26568	 25700	LateInitialization	"Intialization finished"
02-09-2024	11:39:56.722	 INFO	 21428	 16548	DllMain	"DLL_PROCESS_ATTACH Mon Aug 19 22:32:08 2024 11.3.2416.6"
02-09-2024	11:39:56.723	 INFO	 21428	 26164	LateInitialization	"Intialization..."
02-09-2024	11:39:56.724	 INFO	 21428	 26164	LateInitialization	"Exe = C:\Users\arnabm\AppData\Local\Programs\Git\usr\bin\bash.exe"
02-09-2024	11:39:56.724	 INFO	 21428	 26164	LateInitialization	"IsExplorer = 0"
02-09-2024	11:39:56.725	 INFO	 21428	 26164	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
02-09-2024	11:39:56.726	 INFO	 21428	 26164	LateInitialization	"Intialization finished"
